Source,Target
31836,4218941
31836,4553144
31836,4599117
31836,4605004
31836,4614864
31836,4628744
31836,4877126
31839,65822
31839,325501
31839,347223
31839,4584594
31839,16345182
31839,4949438
31839,5014883
31839,5056185
31839,14295987
31839,4943267
31840,1100650
31840,957878
31840,5062343
31840,13481261
31841,4139595
31841,727808
31841,686789
31841,4586083
31846,328010
31846,14329446
31846,925678
31846,4292889
31846,4149767
31846,4311782
31846,214049
31846,202192
31846,1086638
31846,4943714
31846,5135306
31846,4362619
31846,13910664
31846,922606
31846,4647470
31846,14907713
31846,843168
31846,4995818
31846,599328
31855,842313
31855,5023208
31855,13571861
31855,1155885
31855,4829747
31855,1036681
31855,14898167
31855,1214860
31855,4942617
31855,13030030
31863,5111568
31863,4169682
31863,4841991
31863,4726445
31863,171143
31863,5086945
31863,4360476
31863,5284427
31863,5452809
31863,1123410
31863,1147290
31863,4583487
31863,1161026
31863,4369902
31863,4682870
31863,5156366
31863,5284944
31863,834270
31863,4369847
31863,5054645
31864,1064865
31864,1156355
31864,13938951
31864,14907713
31864,4399897
31864,4537283
31864,985432
31864,836793
31864,849409
31864,921936
31864,921937
31864,921938
31864,970273
31864,6033474
31865,5998
31865,16658611
31865,330284
31865,892198
31865,4155375
31865,4403603
31865,5047133
31865,5439513
31865,5448589
31865,5543781
31865,5543782
31865,5650410
31865,5782250
31865,5947897
31865,6045301
31865,13715233
31865,14907713
31865,16654626
31865,16656738
31865,16657303
31865,16657685
31865,16658275
31865,191013
31862,4695253
31862,5544964
31862,5193730
31862,14302550
31862,1260964
31862,4590352
31862,237111
31862,14013763
31862,1201566
31862,4265849
31862,4274229
31862,4229803
31862,235220
31862,14944734
31862,14643
31862,138184
31862,558583
31862,4272530
31862,12924
31862,137802
31862,12612
31866,1237298
31866,4331371
31866,4334338
31866,179577
31866,4360688
31866,4340705
31866,1095424
31866,4156634
31866,177839
31866,4376897
31866,24443
31866,169739
31866,621197
31866,4350783
31866,814024
31866,174448
31866,140828
31866,4339627
31866,1133169
31866,4150780
31866,4351671
31866,1008843
31866,13034835
31866,5061605
31866,5912364
31866,5145897
31866,4145327
31866,169744
31866,5542676
31866,11945538
31866,5721925
31866,180008
31866,167002
31866,4146798
31866,4371457
31866,895537
31866,4464843
31866,1220692
31866,4697388
31866,183209
31866,4362059
31866,201295
31866,5564999
31866,804818
31866,891975
31866,200227
31866,4401381
31866,4156633
31866,5670993
31867,1015418
31867,4398562
31867,1275087
31867,12754
31867,13461834
31867,14449220
31867,234362
31867,4144292
31867,4148134
31867,4328422
31867,4338564
31867,4407091
31867,4698292
31867,4811136
31867,4870377
31867,4983671
31867,5019593
31867,5132113
31867,5680294
31867,5825705
31867,5965265
31867,4356452
31867,4368987
31867,4378680
31867,4383569
31867,4383634
31867,1248560
31868,19053
31868,24478
31868,24479
31868,5803403
31868,5449127
31868,5449128
31868,5499428
31868,4764267
31869,1094885
31869,14953443
31869,19053
31869,31868
31869,4213220
31869,4402159
31869,999640
31869,4764268
31869,5449127
31869,637844
31869,697745
31869,913768
31869,4564871
31870,1212224
31870,9940
31870,215127
31870,4157760
31870,4339588
31870,4342452
31870,4712880
31870,4712881
31870,5086835
31870,5574394
31870,6049447
31870,788718
31870,8036
31870,938466
31870,13783
31871,992111
31871,9403
31871,14150
31871,14907713
31871,15291
31871,16218
31871,163083
31871,164029
31871,16928
31871,170936
31871,171662
31871,174097
31871,181380
31871,19315
31871,20041
31871,234425
31871,234426
31871,235292
31871,240848
31871,3500
31871,4150888
31871,4151898
31871,4153082
31871,4153733
31871,4156071
31871,4302622
31871,4320291
31871,4320714
31871,4334491
31871,4343961
31871,4359494
31871,4367813
31871,4400294
31871,5271171
31871,5641
31871,6960
31871,7563
31871,10891
31872,13746277
31872,14907713
31872,234450
31872,4306268
31872,4308946
31872,843348
31872,5058225
31872,5691970
31872,5888801
31872,6048246
31872,629746
31872,4921326
31896,4957930
31896,72280
31896,62931
31896,5711819
31896,5634402
